word,type,tags
Aeroplane,Abstract,Transport
Aluminium,Concrete,Material
Armour,Concrete,Tool
Autumn,Abstract,
Bin,Concrete,Container
Biscuit,Concrete,Food
Bonnet,Concrete,Clothing
Braces,Concrete,Clothing
Canteen,Concrete,Location
Centre,Concrete,Location
Cinema,Concrete,Location
Colour,Abstract,
Cot,Concrete,Furniture
Crisp,Concrete,Food
Dover,Proper,Location
Duvet,Concrete,
Flat,Concrete,Location
Flavour,Concrete,
Football,Concrete,Sport
Glastonbury,Proper,Location
Harbour,Concrete,Location
Hob,Concrete,Furniture
Holiday,Abstract,
Jumper,Concrete,Clothing
Labour,Abstract,
Labourer,Concrete,Person
Ladybird,Concrete,Animal
Lift,Concrete,Location
Lorry,Concrete,Transport
Luggage,Concrete,
Metre,Concrete,
Motorbike,Concrete,Transport
Nappy,Concrete,Clothing
Organisation,Abstract,
Path,Concrete,Location
Petrol,Concrete,
Plaster,Concrete,Clothing
Postbox,Concrete,Container
Postcode,Abstract,
Postman,Concrete,Person
Pram,Concrete,Transport
Pub,Concrete,Location
Railway,Concrete,Transport
Roundabout,Concrete,Transport
Rubbish,Concrete,
Sofa,Concrete,Furniture
Stonehenge,Proper,Location
Takeaway,Concrete,Food
Tap,Concrete,Furniture
Till,Concrete,
Trainer,Concrete,Clothing
Trousers,Concrete,Clothing
Windscreen,Concrete,Transport
Zip,Concrete,
