word,type,tags
Airplane,Concrete,Transport
Aluminum,Concrete,Material
Apartment,Concrete,Location
Armor,Concrete,Tool
Buck,Concrete,Homonym
Cafeteria,Concrete,Location
Candy,Concrete,Food
Cent,Concrete,
Center,Concrete,
Color,Abstract,
Comforter,Concrete,
Couch,Concrete,Furniture
Crib,Concrete,Furniture
Crosswalk,Concrete,
Diaper,Concrete,Clothing
Dime,Concrete,
Downtown,Concrete,Location
Dryer,Concrete,Furniture
Elevator,Concrete,Location
Eraser,Concrete,Tool
Fall,Abstract,Homonym
Faucet,Concrete,Furniture
Flashlight,Concrete,
Flavor,Concrete,
Fry,Concrete,Food
Harbor,Concrete,Location|Homonym
Hydrant,Concrete,Furniture
Labor,Abstract,
Laborer,Concrete,Person
Ladybug,Concrete,Animal
Mail,Concrete,
Mailbox,Concrete,Container
Mailman,Concrete,Person
Meter,Abstract,
Motorcycle,Concrete,Transport
Organisation,Abstract,
Railroad,Concrete,Transport
Ranch,Concrete,Location
Range,Concrete,Location
Recess,Abstract,Homonym
Sidewalk,Concrete,Location
Sneaker,Concrete,Clothing
Soccer,Concrete,Sport
Soda,Concrete,Food
Store,Concrete,Location
Stroller,Concrete,Transport
Suspenders,Concrete,Clothing
Sweater,Concrete,Clothing
Takeout,Concrete,Food
Trash,Concrete,
Truck,Concrete,Transport
Trunk,Concrete,Transport
Vacation,Abstract,
Windshield,Concrete,Transport
Yard,Concrete,Location|Homonym
Yarn,Concrete,Material
Yellowstone,Proper,Location
Zipper,Concrete,
