word,type,tags
Able,,
Bad,,
Best,,
Better,,
Big,,
Black,,
Blue,,
Central,,
Clear,,
Cold,,
Common,,
Dark,,
Dead,,
Democratic,,
Different,,
Difficult,,
Easy,,
Economic,,
Environmental,,
Fine,,Homonym
Foreign,,
Free,,
Full,,
General,,
Good,,
Great,,
Green,,
Happy,,
Hard,,Homonym
High,,
Hot,,
Huge,,
Human,,
Important,,
International,,
Large,,
Legal,,
Little,,
Long,,
Low,,
Main,,
Major,,
Medical,,
Military,,
National,,
Natural,,
New,,
Nice,,Homonym
Old,,
Only,,
Other,,
Personal,,
Physical,,
Political,,
Poor,,
Popular,,
Possible,,
Private,,
Public,,
Real,,
Red,,
Religious,,
Serious,,
Short,,Homonym
Significant,,
Similar,,
Simple,,
Single,,
Small,,
Social,,
Special,,
Strong,,
Traditional,,
True,,
White,,
Whole,,
Wrong,,
Young,,
