word,type,tags
Account,Concrete,
Ace,Abstract,
Act,Abstract,
Action,Abstract,
Actor,Concrete,Person
Addition,Abstract,
Advertisement,Concrete,
Advice,Abstract,
Africa,Proper,Location|Country
Afternoon,Abstract,
Age,Abstract,
Agent,Concrete,Person
Agreement,Abstract,
Air,Concrete,
Airport,Concrete,Location|Transport
Alarm,Concrete,
Alaska,Proper,Location|State
Alien,Concrete,
Alley,Concrete,Location
Alps,Proper,Location
Amazon,Proper,Location
Ambulance,Concrete,Transport
America,Proper,Location|Country
Anchor,Concrete,Transport
Angel,Concrete,
Anger,Abstract,
Angle,Concrete,
Animal,Concrete,
Ant,Concrete,Animal
Antarctica,Proper,Location|Continent
Anthem,Concrete,
Apparatus,,
Apple,,
Appliance,,
Approval,,
Apron,,
Arc,,
Arch,,
Argument,,
Arithmetic,,
Arm,,
Army,,
Art,,
Arthur,,
Ash,,
Astronaut,,
Atlantis,,
Attention,,
Attic,,
Australia,,
Authority,,
Avalanche,,
Axe,,
Aztec,,
Baby,,
Back,,
Bacon,,
Badge,,
Bag,,
Bait,,
Balance,,
Ball,,
Balloon,,
Banana,,
Band,,
Bang,,
Bank,,
Bar,,
Barbecue,,
Bark,,
Base,,
Basket,,
Bass,,
Bat,,
Bath,,
Battery,,
Battle,,
Battleship,,
Bay,,
Beach,,
Bead,,
Beam,,
Bean,,
Bear,,
Beard,,
Beast,,
Beat,,
Bed,,
Bedroom,,
Bee,,
Beef,,
Beer,,
Beggar,,
Beginner,,
Behavior,,
Beijing,,
Belief,,
Bell,,
Belt,,
Ben,,
Bench,,
Berlin,,
Bermuda,,
Berry,,
Bicycle,,
Bikini,,
Bill,,
Bird,,
Birth,,
Birthday,,
Bit,,
Blacksmith,,
Blade,,
Blind,,
Blizzard,,
Block,,
Blood,,
Blow,,
Blues,,
Board,,
Boat,,
Body,,
Boil,,
Bolt,,
Bomb,,
Bond,,
Bone,,
Book,,
Boom,,
Boot,,
Border,,
Boss,,
Bottle,,
Boundary,,
Bow,,
Bowl,,
Bowler,,
Box,,
Boxer,,
Brain,,
Brake,,
Branch,,
Brass,,
Brazil,,
Bread,,
Break,,
Breakfast,,
Breath,,
Brick,,
Bride,,
Bridge,,
Brother,,
Brush,,
Bubble,,
Bucket,,
Buffalo,,
Bug,,
Bugle,,
Building,,
Bulb,,
Bull,,
Bun,,
Bunk,,
Bush,,
Business,,
Butter,,
Butterfly,,
Button,,
Cabbage,,
Cable,,
Cactus,,
Caesar,,
Cake,,
Calculator,,
Calendar,,
Calf,,
Camera,,
Camp,,
Can,,
Canada,,
Cane,,
Cannon,,
Canvas,,
Cap,,
Capital,,
Captain,,
Caption,,
Car,,
Card,,
Carpenter,,
Carriage,,
Carrot,,
Cart,,
Casino,,
Cast,,
Castle,,
Cat,,
Cattle,,
Cave,,
Celery,,
Cell,,
Cellar,,
Cemetery,,
Centaur,,
Chain,,
Chair,,
Chalk,,
Chance,,
Change,,
Channel,,
Cheese,,
Cherry,,
Chess,,
Chest,,
Chick,,
Chicken,,
Children,,
Chin,,
China,,
Chip,,
Chocolate,,
Christmas,,
Church,,
Circle,,
Clam,,
Class,,
Cleopatra,,
Cliff,,
Cloak,,
Clock,,
Cloth,,
Cloud,,
Club,,
Coach,,
Coal,,
Coast,,
Coat,,
Cobweb,,
Code,,
Coffee,,
Coil,,
Cold,,
Collar,,
Columbus,,
Comb,,
Comet,,
Comfort,,
Comic,,
Committee,,
Company,,
Competition,,
Compound,,
Computer,,
Concert,,
Condition,,
Conductor,,
Cone,,
Connection,,
Contract,,
Control,,
Cook,,
Cookie,,
Copper,,
Copy,,
Cord,,
Cork,,
Corn,,
Cotton,,
Cough,,
Country,,
Court,,
Cow,,
Cowboy,,
Crab,,
Crack,,
Cracker,,
Craft,,
Crane,,
Crash,,
Crate,,
Crayon,,
Cream,,
Creator,,
Creature,,
Credit,,
Cricket,,
Crime,,
Crook,,
Cross,,
Crow,,
Crowd,,
Crown,,
Crusader,,
Crush,,
Crystal,,
Cub,,
Cuckoo,,
Cup,,
Current,,
Curry,,
Curtain,,
Curve,,
Cushion,,
Cycle,,
Dance,,
Date,,
Day,,
Death,,
Debt,,
Decision,,
Deck,,
Deer,,
Degree,,
Delta,,
Dentist,,
Design,,
Desire,,
Desk,,
Destruction,,
Detail,,
Development,,
Diamond,,
Dice,,
Digestion,,
Dinner,,
Dinosaur,,
Direction,,
Director,,
Dirt,,
Discovery,,
Discussion,,
Disease,,
Disgust,,
Disk,,
Distance,,
Distribution,,
Diver,,
Division,,
Dock,,
Doctor,,
Dog,,
Doll,,
Dollar,,
Donkey,,
Door,,
Draft,,
Dragon,,
Drain,,
Drawer,,
Drawing,,
Dream,,
Dress,,
Dressing,,
Drill,,
Drink,,
Driver,,
Driving,,
Drone,,
Drop,,
Drug,,
Drum,,
Duck,,
Dust,,
Dwarf,,
Eagle,,
Ear,,
Earth,,
Earthquake,,
Easter,,
Eden,,
Edge,,
Education,,
Effect,,
Egg,,
Eggnog,,
Egypt,,
Einstein,,
Elbow,,
Elephant,,
Embassy,,
End,,
Engine,,
England,,
Error,,
Europe,,
Event,,
Example,,
Exchange,,
Existence,,
Expansion,,
Experience,,
Expert,,
Eye,,
Face,,
Fact,,
Fair,,
Fairy,,
Family,,
Fan,,
Fang,,
Farm,,
Farmer,,
Father,,
Fear,,
Feast,,
Feather,,
Feeling,,
Fence,,
Fever,,
